Filename,Title,Author,Language,Release Date
./Gutenberg\24747-0.txt,Samlede værker,Jeppe Aakjær,Danish,"March 3, 2008"
./Gutenberg\27566-0.txt,La Force,Paul Adam,French,"December 19, 2008"
./Gutenberg\33378-0.txt,Au soleil de juillet (1829-1830),Paul Adam,French,"August 8, 2010"
./Gutenberg\36460-0.txt,Cœur-de-panthère,Gustave Aimard,French,"June 18, 2011"
./Gutenberg\39331-0.txt,Histoire des salons de Paris (Tome 1/6),"Laure Junot, duchesse d'Abrantès",French,"April 1, 2012"
./Gutenberg\40420-0.txt,La voz de España contra todos sus enemigos,José María Avilés,Spanish,"August 5, 2012"
./Gutenberg\43923-0.txt,Le lion du désert,Gustave Aimard,French,"October 10, 2013"
./Gutenberg\44715-0.txt,Le Guaranis,Gustave Aimard,French,"January 20, 2014"
./Gutenberg\47903-0.txt,L'éclaireur,Gustave Aimard,French,"January 7, 2015"
./Gutenberg\48903-0.txt,El libro de las mil noches y una noche; t 3,Anonymous,Spanish,"May 9, 2015"
./Gutenberg\49619-0.txt,Les nuits mexicaines,Gustave Aimard,French,"August 5, 2015"
./Gutenberg\50430-0.txt,Historia natural y moral de las Indias (vol 2 of 2),"P. Joseph, de Acosta",Spanish,"November 11, 2015"
./Gutenberg\51019-0.txt,"La Biblia en España, Tomo I (de 3)",George Borrow,Spanish,"January 24, 2016 "
./Gutenberg\51020-0.txt,"La Biblia en España, Tomo II (de 3)",George Borrow,Spanish,"January 24, 2016 "
./Gutenberg\51144-0.txt,Le Montonéro,Gustave Aimard,French,"February 8, 2016"
./Gutenberg\51689-0.txt,"La Biblia en España, Tomo III (de 3)",George Borrow,Spanish,"April 8, 2016 "
./Gutenberg\51709-0.txt,Le nez d'un notaire,Edmond About,French,"April 9, 2016"
./Gutenberg\53947-0.txt,La señorita de Trevelez,Carlos Arniches y Barrera,Spanish,"January 12, 2017 "
./Gutenberg\56393-0.txt,Maurin des Maures,Jean Aicard,French,"January 18, 2018"
./Gutenberg\57505-0.txt,El tratado de la pintura,Leonardo de  Vinci,Spanish,"July 14, 2018"
./Gutenberg\57648-0.txt,Romancero selecto del Cid,Anonymous,Spanish,"August 6, 2018"
./Gutenberg\58069-0.txt,Les chasseurs mexicains,Gustave Aimard,French,"October 10, 2018"
